IPAC2021
2021-01-09 > 2021-01-30
2021,0,9,4
2021,0,10,7
2021,0,11,15
2021,0,12,20
2021,0,13,30
2021,0,14,36
2021,0,15,41
2021,0,16,46
2021,0,17,48
2021,0,18,59
2021,0,19,68
2021,0,20,95
2021,0,21,117
2021,0,22,141
2021,0,23,146
2021,0,24,159
2021,0,25,222
2021,0,26,291
2021,0,27,418
2021,0,28,558
2021,0,29,800
2021,0,30,952
2021,0,31,1141
2021,1,1,1182
2021,1,2,1185
2021,1,3,1189
2021,1,4,1195
2021,1,5,1198
2021,1,6,1199
2021,1,7,1200
2021,1,8,1202
2021,1,9,1203
2021,1,10,1204
2021,1,11,1205
2021,1,14,1206
2021,1,15,1207
2021,1,16,1208
2021,1,17,1209
2021,1,18,1210
2021,1,22,1211
2021,1,25,1213
2021,1,26,1215
2021,1,27,1217
2021,1,28,1218
2021,2,3,1219
2021,2,4,1220
2021,2,5,1221
2021,2,12,1223
2021,2,16,1224
2021,2,17,1227
2021,2,18,1229
2021,2,19,1230
2021,2,22,1266
2021,2,23,1272
2021,2,24,1273
2021,2,25,1286
2021,2,26,1287
2021,3,7,1288
2021,3,13,1290
2021,3,20,1292
2021,3,21,1293
2021,3,23,1294
2021,4,11,1295
2021,4,19,1296
2021,5,21,1298
