IPAC17
2016-11-11 > 2017-05-11 > final deadline
#2016-11-11 > 2017-03-14 > deadline for early bird
2016,8,7,1
2016,8,21,2
2016,9,11,4
2016,9,12,5
2016,9,17,6
2016,10,8,8
2016,10,9,11
2016,10,10,13
2016,10,18,14
2016,10,22,15
2016,10,24,19
2016,10,28,20
2016,10,29,24
2016,10,30,26
2016,11,1,27
2016,11,2,30
2016,11,5,38
2016,11,6,41
2016,11,7,42
2016,11,8,45
2016,11,12,47
2016,11,14,49
2016,11,15,52
2016,11,16,53
2016,11,19,57
2016,11,20,60
2016,11,21,63
2016,11,22,67
2016,11,28,68
2017,0,2,70
2017,0,5,72
2017,0,8,73
2017,0,9,75
2017,0,10,76
2017,0,11,77
2017,0,12,82
2017,0,16,84
2017,0,17,87
2017,0,18,88
2017,0,19,91
2017,0,20,93
2017,0,23,94
2017,0,24,95
2017,0,25,98
2017,0,26,101
2017,0,27,104
2017,0,28,105
2017,0,29,106
2017,0,30,110
2017,0,31,112
2017,1,1,119
2017,1,2,123
2017,1,3,125
2017,1,6,129
2017,1,7,135
2017,1,8,142
2017,1,9,150
2017,1,10,159
2017,1,11,161
2017,1,13,170
2017,1,14,180
2017,1,15,185
2017,1,16,198
2017,1,17,208
2017,1,18,209
2017,1,20,223
2017,1,21,229
2017,1,22,237
2017,1,23,243
2017,1,24,250
2017,1,27,257
2017,1,28,261
2017,2,1,275
2017,2,2,295
2017,2,3,304
2017,2,4,308
2017,2,5,310
2017,2,6,339
2017,2,7,361
2017,2,8,379
2017,2,9,398
2017,2,10,728
2017,2,11,744
2017,2,12,754
2017,2,13,852
2017,2,14,932
2017,2,15,939
2017,2,16,941
2017,2,17,946
2017,2,20,964
2017,2,21,974
2017,2,22,983
2017,2,23,1041
2017,2,24,1050
2017,2,27,1061
2017,2,28,1066
2017,2,29,1095
2017,2,30,1099
2017,2,31,1103
2017,3,3,1111
2017,3,4,1118
2017,3,5,1127
2017,3,6,1143
2017,3,7,1148
2017,3,8,1149
2017,3,10,1154
2017,3,11,1164
2017,3,12,1171
2017,3,13,1177
2017,3,14,1180
2017,3,15,1181
2017,3,17,1183
2017,3,18,1187
2017,3,19,1193
2017,3,20,1196
2017,3,21,1200
2017,3,23,1215
2017,3,24,1221
2017,3,25,1223
2017,3,26,1253
2017,3,27,1262
2017,3,28,1270
2017,3,29,1271
2017,3,30,1272
2017,4,1,1275
2017,4,2,1279
2017,4,3,1283
2017,4,4,1290
2017,4,5,1291
2017,4,8,1297
2017,4,9,1299
2017,4,10,1305
2017,4,11,1307
2017,4,13,1360
